,0
0,Colorado
1,Connecticut
2,Delaware
3,Idaho
4,Iowa
5,Kansas
6,Kentucky
7,Louisiana
8,Maine
9,Maryland
10,Massachusetts
11,Minnesota
12,Mississippi
13,Missouri
14,Nebraska
15,Nevada
16,New Hampshire
17,New Jersey
18,North Carolina
19,Oklahoma
20,Oregon
21,Pennsylvania
22,Rhode Island
23,South Carolina
24,Tennessee
25,Vermont
26,Virginia
27,Washington
28,West Virginia
29,Wisconsin
30,Wyoming
